Total energy after final integration           :     -1.172980048 Eh
Total energy after final integration           :     -1.172415166 Eh
Total energy after final integration           :     -1.171264790 Eh
Total energy after final integration           :     -1.169616533 Eh
Total energy after final integration           :     -1.167666536 Eh
Total energy after final integration           :     -1.165709540 Eh
Total energy after final integration           :     -1.164092662 Eh
Total energy after final integration           :     -1.163135622 Eh
Total energy after final integration           :     -1.163040378 Eh
Total energy after final integration           :     -1.163827301 Eh
Total energy after final integration           :     -1.165328460 Eh
Total energy after final integration           :     -1.167241469 Eh
Total energy after final integration           :     -1.169217563 Eh
Total energy after final integration           :     -1.170946120 Eh
Total energy after final integration           :     -1.172208696 Eh
Total energy after final integration           :     -1.172895895 Eh
Total energy after final integration           :     -1.172995828 Eh
Total energy after final integration           :     -1.172568036 Eh
Total energy after final integration           :     -1.171714100 Eh
Total energy after final integration           :     -1.170550343 Eh
Total energy after final integration           :     -1.169182117 Eh
Total energy after final integration           :     -1.167677912 Eh
Total energy after final integration           :     -1.166060024 Eh
Total energy after final integration           :     -1.164356926 Eh
Total energy after final integration           :     -1.162669031 Eh
Total energy after final integration           :     -1.161126165 Eh
Total energy after final integration           :     -1.159831759 Eh
Total energy after final integration           :     -1.158856382 Eh
Total energy after final integration           :     -1.158245230 Eh
Total energy after final integration           :     -1.158023821 Eh
Total energy after final integration           :     -1.158200940 Eh
Total energy after final integration           :     -1.158769573 Eh
Total energy after final integration           :     -1.159706156 Eh
Total energy after final integration           :     -1.160967879 Eh
Total energy after final integration           :     -1.162487304 Eh
Total energy after final integration           :     -1.164164770 Eh
Total energy after final integration           :     -1.165871597 Eh
Total energy after final integration           :     -1.167500386 Eh
Total energy after final integration           :     -1.169016677 Eh
Total energy after final integration           :     -1.170401443 Eh
Total energy after final integration           :     -1.171591385 Eh
Total energy after final integration           :     -1.172483770 Eh
Total energy after final integration           :     -1.172961983 Eh
Total energy after final integration           :     -1.172921285 Eh
Total energy after final integration           :     -1.172295867 Eh
Total energy after final integration           :     -1.171088242 Eh
Total energy after final integration           :     -1.169396248 Eh
Total energy after final integration           :     -1.167426957 Eh
Total energy after final integration           :     -1.165483560 Eh
Total energy after final integration           :     -1.163915329 Eh
Total energy after final integration           :     -1.163035205 Eh
Total energy after final integration           :     -1.163029988 Eh
Total energy after final integration           :     -1.163900823 Eh
Total energy after final integration           :     -1.165462819 Eh
