#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
       149;         29.8;      5;      4.88;      0.77;     214.35;    0.002036;       -1.165069;       -1.163033;       -1.163033;      3.03
       150;         30.0;      5;      4.49;      0.75;     333.05;    0.003164;       -1.166201;       -1.163036;       -1.163036;      2.85
       151;         30.2;      6;      4.78;      0.76;     467.57;    0.004442;       -1.167483;       -1.163041;       -1.163041;      2.63
       152;         30.4;      6;      4.82;      0.76;     610.59;    0.005801;       -1.168847;       -1.163047;       -1.163047;      2.31
       153;         30.6;      6;      5.35;      0.76;     752.56;    0.007150;       -1.170204;       -1.163054;       -1.163054;      1.89
       154;         30.8;      6;      7.00;      0.76;     881.51;    0.008375;       -1.171438;       -1.163063;       -1.163063;      1.43
       155;         31.0;      7;      5.79;      0.75;     983.99;    0.009348;       -1.172421;       -1.163073;       -1.163073;      0.94
       156;         31.2;      7;      7.11;      0.75;    1046.46;    0.009942;       -1.173023;       -1.163081;       -1.163081;      0.49
       157;         31.4;      7;      5.69;      0.74;    1056.83;    0.010040;       -1.173128;       -1.163088;       -1.163088;      0.13
       158;         31.6;      7;      6.11;      0.75;    1006.74;    0.009564;       -1.172655;       -1.163091;       -1.163091;     -0.02
       159;         31.8;      7;      6.32;      0.75;     894.43;    0.008498;       -1.171586;       -1.163088;       -1.163088;      0.12
       160;         32.0;      7;      5.88;      0.78;     727.62;    0.006913;       -1.169991;       -1.163078;       -1.163078;      0.63
       161;         32.2;      7;      5.75;      0.74;     525.32;    0.004991;       -1.168052;       -1.163062;       -1.163062;      1.52
       162;         32.4;      6;      5.94;      0.84;     317.29;    0.003014;       -1.166055;       -1.163040;       -1.163040;      2.65
       163;         32.6;      6;      5.38;      0.75;     139.67;    0.001327;       -1.164346;       -1.163019;       -1.163019;      3.76
       164;         32.8;      4;      4.41;      0.76;      27.03;    0.000257;       -1.163261;       -1.163005;       -1.163005;      4.52
       165;         33.0;      3;      3.20;      0.78;       2.90;    0.000028;       -1.163029;       -1.163001;       -1.163001;      4.69
       166;         33.2;      4;      3.66;      0.75;      72.48;    0.000689;       -1.163699;       -1.163011;       -1.163011;      4.21
       167;         33.4;      6;      6.75;      0.75;     220.94;    0.002099;       -1.165128;       -1.163029;       -1.163029;      3.23
       168;         33.6;      6;      6.09;      0.76;     418.16;    0.003973;       -1.167024;       -1.163051;       -1.163051;      2.08
       169;         33.8;      7;      6.74;      0.76;     627.63;    0.005963;       -1.169033;       -1.163071;       -1.163071;      1.04
       170;         34.0;      7;      6.25;      0.93;     815.58;    0.007748;       -1.170832;       -1.163084;       -1.163084;      0.33
       171;         34.2;      7;      4.82;      0.77;     957.23;    0.009094;       -1.172184;       -1.163090;       -1.163090;      0.01
       172;         34.4;      7;      6.12;      0.76;    1039.24;    0.009873;       -1.172963;       -1.163090;       -1.163090;      0.02
       173;         34.6;      7;      5.12;      0.77;    1058.88;    0.010060;       -1.173145;       -1.163085;       -1.163085;      0.29
       174;         34.8;      7;      6.44;      0.76;    1021.55;    0.009705;       -1.172782;       -1.163077;       -1.163077;      0.70
       175;         35.0;      7;      5.55;      0.76;     937.74;    0.008909;       -1.171977;       -1.163068;       -1.163068;      1.18
       176;         35.2;      6;      4.25;      0.76;     820.52;    0.007795;       -1.170854;       -1.163059;       -1.163059;      1.66
       177;         35.4;      6;      7.44;      0.76;     683.55;    0.006494;       -1.169544;       -1.163050;       -1.163050;      2.11
       178;         35.6;      6;      4.86;      0.76;     539.70;    0.005127;       -1.168171;       -1.163043;       -1.163043;      2.48
       179;         35.8;      6;      5.29;      0.76;     399.83;    0.003799;       -1.166837;       -1.163038;       -1.163038;      2.74
       180;         36.0;      6;      5.26;      0.76;     272.28;    0.002587;       -1.165621;       -1.163035;       -1.163035;      2.94
       181;         36.2;      5;      4.89;      0.76;     163.63;    0.001555;       -1.164586;       -1.163031;       -1.163031;      3.12
       182;         36.4;      5;      4.60;      0.76;      79.51;    0.000755;       -1.163784;       -1.163029;       -1.163029;      3.26
       183;         36.6;      4;      3.49;      0.76;      24.28;    0.000231;       -1.163258;       -1.163027;       -1.163027;      3.35
       184;         36.8;      4;      3.89;      0.75;       0.77;    0.000007;       -1.163034;       -1.163026;       -1.163026;      3.38
       185;         37.0;      3;      3.06;      0.76;      10.13;    0.000096;       -1.163123;       -1.163026;       -1.163026;      3.37
       186;         37.2;      4;      3.59;      0.75;      51.91;    0.000493;       -1.163521;       -1.163028;       -1.163028;      3.30
       187;         37.4;      4;      3.59;      0.76;     124.00;    0.001178;       -1.164208;       -1.163030;       -1.163030;      3.18
       188;         37.6;      5;      5.15;      0.76;     222.68;    0.002116;       -1.165149;       -1.163033;       -1.163033;      3.02
       189;         37.8;      5;      6.91;      0.76;     342.82;    0.003257;       -1.166294;       -1.163037;       -1.163037;      2.83
       190;         38.0;      6;      4.42;      0.78;     478.26;    0.004544;       -1.167585;       -1.163041;       -1.163041;      2.60
       191;         38.2;      6;      4.39;      0.77;     621.56;    0.005905;       -1.168952;       -1.163047;       -1.163047;      2.28
       192;         38.4;      6;      4.65;      0.77;     762.99;    0.007249;       -1.170304;       -1.163055;       -1.163055;      1.86
       193;         38.6;      6;      5.79;      0.76;     890.41;    0.008459;       -1.171523;       -1.163064;       -1.163064;      1.39
       194;         38.8;      7;      7.29;      0.75;     990.32;    0.009408;       -1.172482;       -1.163073;       -1.163073;      0.90
       195;         39.0;      7;      5.26;      0.78;    1049.22;    0.009968;       -1.173050;       -1.163082;       -1.163082;      0.45
       196;         39.2;      7;      6.23;      0.76;    1055.21;    0.010025;       -1.173113;       -1.163088;       -1.163088;      0.11
       197;         39.4;      7;      7.28;      0.76;    1000.35;    0.009504;       -1.172595;       -1.163091;       -1.163091;     -0.02
