    Step            Time                Epot                Ekin                Etot
      44    363.80409627     -1.172856696404      0.003099360364     -1.169757336040
      45    372.07237118     -1.171130181557      0.001394131592     -1.169736049965
      46    380.34064610     -1.170010753853      0.000289772731     -1.169720981121
      47    388.60892101     -1.169735005377      0.000017881774     -1.169717123603
      48    396.87719593     -1.170363168809      0.000637340553     -1.169725828255
      49    405.14547084     -1.171759143303      0.002015055856     -1.169744087447
      50    413.41374576     -1.173635036206      0.003868936336     -1.169766099870
      51    421.68202067     -1.175637932525      0.005851969948     -1.169785962577
      52    429.95029559     -1.177440012832      0.007640247355     -1.169799765476
      53    438.21857050     -1.178800735114      0.008994520900     -1.169806214214
      54    446.48684542     -1.179590475183      0.009784414653     -1.169806060531
      55    454.75512033     -1.179782745580      0.009981650867     -1.169801094714
      56    463.02339525     -1.179429354517      0.009636077543     -1.169793276974
      57    471.29167016     -1.178631445796      0.008847214116     -1.169784231679
      58    479.55994508     -1.177514350181      0.007739271188     -1.169775078994
      59    487.82821999     -1.176209171377      0.006442611821     -1.169766559556
      60    496.09649491     -1.174839666673      0.005080206058     -1.169759460615
      61    504.36476982     -1.173510434252      0.003756003816     -1.169754430436
      62    512.63304474     -1.172300520461      0.002549868693     -1.169750651767
      63    520.90131966     -1.171272034937      0.001524742145     -1.169747292792
      64    529.16959457     -1.170478412903      0.000733763847     -1.169744649057
      65    537.43786949     -1.169961419077      0.000218431692     -1.169742987384
      66    545.70614440     -1.169747544872      0.000005221265     -1.169742323606
      67    553.97441932     -1.169847444013      0.000104812275     -1.169742631738
      68    562.24269423     -1.170256165663      0.000512239846     -1.169743925818
      69    570.51096915     -1.170953015339      0.001206791136     -1.169746224203
      70    578.77924406     -1.171901575402      0.002152201033     -1.169749374369
      71    587.04751898     -1.173052055381      0.003299072433     -1.169752982948
      72    595.31579389     -1.174345745203      0.004588352414     -1.169757392789
      73    603.58406881     -1.175711334149      0.005947578469     -1.169763755681
      74    611.85234372     -1.177053542808      0.007281679458     -1.169771863351
      75    620.12061864     -1.178254253559      0.008473391769     -1.169780861790
      76    628.38889355     -1.179183667724      0.009393618176     -1.169790049548
      77    636.65716847     -1.179712570920      0.009914094280     -1.169798476640
      78    644.92544338     -1.179728426627      0.009923728563     -1.169804698064
      79    653.19371830     -1.179158172475      0.009351335243     -1.169806837232
      80    661.46199321     -1.177996426174      0.008193467241     -1.169802958933
      81    669.73026813     -1.176333091166      0.006541276448     -1.169791814718
      82    677.99854304     -1.174369081220      0.004595233518     -1.169773847702
      83    686.26681796     -1.172405578218      0.002653569277     -1.169752008941
      84    694.53509287     -1.170795798332      0.001064152962     -1.169731645371
      85    702.80336779     -1.169862423342      0.000143514492     -1.169718908849
      86    711.07164270     -1.169805033259      0.000086928921     -1.169718104338
      87    719.33991762     -1.170636186407      0.000906672028     -1.169729514379
      88    727.60819253     -1.172177242950      0.002427994007     -1.169749248943
      89    735.87646745     -1.174116064919      0.004344830967     -1.169771233953
      90    744.14474236     -1.176098209595      0.006308306304     -1.169789903291
      91    752.41301728     -1.177812517653      0.008010545588     -1.169801972065
      92    760.68129219     -1.179044227020      0.009237510572     -1.169806716448
      93    768.94956711     -1.179689990838      0.009884760798     -1.169805230040
      94    777.21784203     -1.179744653780      0.009945243304     -1.169799410475
      95    785.48611694     -1.179274412702      0.009483243253     -1.169791169449
      96    793.75439186     -1.178388249764      0.008606234557     -1.169782015207
      97    802.02266677     -1.177214298341      0.007441344809     -1.169772953532
      98    810.29094169     -1.175882987066      0.006118295659     -1.169764691407
