# t_fs P_donor rate_au
1.379933968797023169e+02 0.000000000000000000e+00 7.397672117901278455e+01
1.389933490310045272e+02 0.000000000000000000e+00 8.869115636753467413e+01
1.399933011823067091e+02 0.000000000000000000e+00 9.214570303350666336e+01
1.409932533336088909e+02 0.000000000000000000e+00 8.548928384680435499e+01
1.419932054849110727e+02 0.000000000000000000e+00 7.518875620378985047e+01
1.429931576362132830e+02 0.000000000000000000e+00 6.651477556427032312e+01
1.439931097875154649e+02 0.000000000000000000e+00 6.266762684897928182e+01
1.449930619388176751e+02 0.000000000000000000e+00 6.615692323867511959e+01
1.459930140901198286e+02 0.000000000000000000e+00 7.619088764884824627e+01
1.469929662414220388e+02 0.000000000000000000e+00 8.654207012365255025e+01
1.479929183927242207e+02 0.000000000000000000e+00 8.940615738959922965e+01
1.489928705440264309e+02 0.000000000000000000e+00 8.319262129495474767e+01
1.499928226953286128e+02 0.000000000000000000e+00 7.376995426472996087e+01
1.509927748466307946e+02 0.000000000000000000e+00 6.838890623232039445e+01
1.519927269979330049e+02 0.000000000000000000e+00 7.000901206351848316e+01
1.529926791492351867e+02 0.000000000000000000e+00 7.744178593129345245e+01
1.539926313005373970e+02 0.000000000000000000e+00 8.743230033506095822e+01
1.549925834518395789e+02 0.000000000000000000e+00 9.498425220105644939e+01
1.559925356031417607e+02 0.000000000000000000e+00 9.467523018336264329e+01
1.569924877544439425e+02 0.000000000000000000e+00 8.490251915984026709e+01
1.579924399057461528e+02 0.000000000000000000e+00 7.088944367917960676e+01
1.589923920570483347e+02 0.000000000000000000e+00 6.204755564902648501e+01
1.599923442083505165e+02 0.000000000000000000e+00 6.499464221790748297e+01
1.609922963596526984e+02 0.000000000000000000e+00 7.904698551399337703e+01
1.619922485109549086e+02 0.000000000000000000e+00 9.746535742348243048e+01
1.629922006622570905e+02 0.000000000000000000e+00 1.107805443095742817e+02
1.639921528135593007e+02 0.000000000000000000e+00 1.114871017925554213e+02
1.649921049648614542e+02 0.000000000000000000e+00 9.779261497685730831e+01
1.659920571161636644e+02 0.000000000000000000e+00 7.565974033741241556e+01
1.669920092674658463e+02 0.000000000000000000e+00 5.642817027451670242e+01
1.679919614187680565e+02 0.000000000000000000e+00 5.156391827616567269e+01
1.689919135700702384e+02 0.000000000000000000e+00 6.565936196090692079e+01
1.699918657213724202e+02 0.000000000000000000e+00 9.328967445421939431e+01
1.709918178726746305e+02 0.000000000000000000e+00 1.211443511573607452e+02
1.719917700239768124e+02 0.000000000000000000e+00 1.339366992550550322e+02
1.729917221752790226e+02 0.000000000000000000e+00 1.236515917287052844e+02
1.739916743265812045e+02 0.000000000000000000e+00 9.503715142528132276e+01
1.749916264778833863e+02 0.000000000000000000e+00 6.197625399208868657e+01
1.759915786291855682e+02 0.000000000000000000e+00 4.082970045515934032e+01
1.769915307804877784e+02 0.000000000000000000e+00 4.366036135779060601e+01
1.779914829317899603e+02 0.000000000000000000e+00 7.160604359519251716e+01
1.789914350830921421e+02 0.000000000000000000e+00 1.132906174060672697e+02
1.799913872343943240e+02 0.000000000000000000e+00 1.480428537242746643e+02
1.809913393856965342e+02 0.000000000000000000e+00 1.555882043680984452e+02
1.819912915369987161e+02 0.000000000000000000e+00 1.307539187763057953e+02
1.829912436883009264e+02 0.000000000000000000e+00 8.689292765127886753e+01
1.839911958396030798e+02 0.000000000000000000e+00 4.536863034242946213e+01
1.849911479909052900e+02 0.000000000000000000e+00 2.607344637536093046e+01
1.859911001422074719e+02 0.000000000000000000e+00 4.002562625145792907e+01
1.869910522935096822e+02 0.000000000000000000e+00 8.353292270639525441e+01
1.879910044448118640e+02 0.000000000000000000e+00 1.383286935156539244e+02
1.889909565961140459e+02 0.000000000000000000e+00 1.760631109144390791e+02
1.899909087474162277e+02 0.000000000000000000e+00 1.734583523897208011e+02
1.909908608987184380e+02 0.000000000000000000e+00 1.315807802307605812e+02
1.919908130500206198e+02 0.000000000000000000e+00 7.337296328567040860e+01
1.929907652013228301e+02 0.000000000000000000e+00 2.650916666302009972e+01
1.939907173526250119e+02 0.000000000000000000e+00 1.299620268971764681e+01
1.949906695039271938e+02 0.000000000000000000e+00 4.118752571510503913e+01
1.959906216552294040e+02 0.000000000000000000e+00 1.013459992316655871e+02
1.969905738065315859e+02 0.000000000000000000e+00 1.674672632506402863e+02
1.979905259578337677e+02 0.000000000000000000e+00 2.035629474537725798e+02
1.989904781091359496e+02 0.000000000000000000e+00 1.862809775683882947e+02
1.999904302604381314e+02 0.000000000000000000e+00 1.261903796243325075e+02
2.009903824117403701e+02 0.000000000000000000e+00 5.582230005792332150e+01
2.019903345630425520e+02 0.000000000000000000e+00 7.549180411977793881e+00
2.029902867143447054e+02 0.000000000000000000e+00 3.890986142733347641e+00
2.039902388656468872e+02 0.000000000000000000e+00 4.882830977485775747e+01
2.049901910169491259e+02 0.000000000000000000e+00 1.255303428560882111e+02
2.059901431682513078e+02 0.000000000000000000e+00 1.996261698765067649e+02
2.069900953195534896e+02 0.000000000000000000e+00 2.285002590955021731e+02
2.079900474708556715e+02 0.000000000000000000e+00 1.926696164468675647e+02
2.089899996221578817e+02 0.000000000000000000e+00 1.146933933254256033e+02
2.099899517734600636e+02 0.000000000000000000e+00 3.502640077231814075e+01
2.109899039247622454e+02 0.000000000000000000e+00 -1.059602516811154871e+01
2.119898560760644273e+02 0.000000000000000000e+00 -7.420377135999001172e-01
2.129898082273666375e+02 0.000000000000000000e+00 6.243823693880897707e+01
2.139897603786688194e+02 0.000000000000000000e+00 1.545719043955169809e+02
2.149897125299710012e+02 0.000000000000000000e+00 2.324105479846272999e+02
2.159896646812732115e+02 0.000000000000000000e+00 2.486967142728725833e+02
2.169896168325753933e+02 0.000000000000000000e+00 1.921542812608825272e+02
2.179895689838775752e+02 0.000000000000000000e+00 9.784776784515739223e+01
2.189895211351797570e+02 0.000000000000000000e+00 1.278863251150897007e+01
