t_fs P_1 P_2 Z
4.900000000000000000e+01 8.081884268672598903e-01 1.918115731327402207e-01 9.994674590426047001e-01
4.950000000000000000e+01 8.105656404799238546e-01 1.894343595200760344e-01 9.995563814959909088e-01
5.000000000000000000e+01 8.122420491964080780e-01 1.877579508035919775e-01 9.996565304385023332e-01
5.050000000000000000e+01 8.136624584389785531e-01 1.863375415610214192e-01 9.997575926237468602e-01
5.100000000000000000e+01 8.153052480920124356e-01 1.846947519079874533e-01 9.998526102703957363e-01
5.150000000000000000e+01 8.171374965578136473e-01 1.828625034421863804e-01 9.999360982462935921e-01
5.200000000000000000e+01 8.191317216332839601e-01 1.808682783667160399e-01 1.000006459709740225e+00
5.250000000000000000e+01 8.212385365230047141e-01 1.787614634769953414e-01 1.000065900838841726e+00
5.300000000000000000e+01 8.233543246138371741e-01 1.766456753861627427e-01 1.000119586440393116e+00
5.350000000000000000e+01 8.253069233255987402e-01 1.746930766744013985e-01 1.000174232226862081e+00
5.400000000000000000e+01 8.268771616876465780e-01 1.731228383123534775e-01 1.000236196846288061e+00
5.450000000000000000e+01 8.278592357687275527e-01 1.721407642312724195e-01 1.000309479197490692e+00
5.500000000000000000e+01 8.281412705995323531e-01 1.718587294004676747e-01 1.000394473737703072e+00
5.550000000000000000e+01 8.277675512176162487e-01 1.722324487823838346e-01 1.000488085154755735e+00
5.600000000000000000e+01 8.269412787998287051e-01 1.730587212001714059e-01 1.000584781079166596e+00
5.650000000000000000e+01 8.259537748924524747e-01 1.740462251075476363e-01 1.000677481812805469e+00
5.700000000000000000e+01 8.250741181205600849e-01 1.749258818794398040e-01 1.000757872641587554e+00
5.750000000000000000e+01 8.244672081171702249e-01 1.755327918828296641e-01 1.000817090082091632e+00
5.800000000000000000e+01 8.241908522066443421e-01 1.758091477933556024e-01 1.000847850138442130e+00
5.850000000000000000e+01 8.242538521858422396e-01 1.757461478141577604e-01 1.000847285140568754e+00
5.900000000000000000e+01 8.246522838772603059e-01 1.753477161227396386e-01 1.000818045250399857e+00
5.950000000000000000e+01 8.253141447299896516e-01 1.746858552700104594e-01 1.000766208877084562e+00
6.000000000000000000e+01 8.259902931819034233e-01 1.740097068180965212e-01 1.000697781108108808e+00
6.050000000000000000e+01 8.262437569302168994e-01 1.737562430697830174e-01 1.000617209848582823e+00
6.100000000000000000e+01 8.256694893432036109e-01 1.743305106567963336e-01 1.000528878585669190e+00
6.150000000000000000e+01 8.242748713773055957e-01 1.757251286226943765e-01 1.000438767920491578e+00
6.200000000000000000e+01 8.227161149681949670e-01 1.772838850318050052e-01 1.000353453869065712e+00
