t_fs P_1 P_2 Z
8.000000000000000000e+01 3.512805136317405097e-01 6.487194863682594903e-01 9.994964169272283483e-01
8.050000000000000000e+01 3.449343607554634650e-01 6.550656392445365350e-01 9.991435977628948528e-01
8.100000000000000000e+01 3.473935570836882425e-01 6.526064429163117575e-01 9.991326201527025441e-01
8.150000000000000000e+01 3.547140446383600376e-01 6.452859553616399069e-01 9.991183332452342469e-01
8.200000000000000000e+01 3.627150589411659576e-01 6.372849410588340424e-01 9.991024289543071202e-01
8.250000000000000000e+01 3.680860491631757769e-01 6.319139508368242231e-01 9.990879573905022681e-01
8.300000000000000000e+01 3.692504378652224362e-01 6.307495621347775083e-01 9.990775377758053244e-01
8.350000000000000000e+01 3.665170299604306736e-01 6.334829700395693264e-01 9.990719388076645391e-01
8.400000000000000000e+01 3.615840144984291959e-01 6.384159855015707485e-01 9.990701696471236959e-01
8.450000000000000000e+01 3.567003812879386282e-01 6.432996187120613163e-01 9.990708135841542825e-01
8.500000000000000000e+01 3.538460622486949703e-01 6.461539377513050297e-01 9.990733854277924486e-01
8.550000000000000000e+01 3.557149344253338064e-01 6.442850655746661381e-01 9.991633409374737207e-01
8.600000000000000000e+01 3.640625356224404530e-01 6.359374643775596025e-01 9.991788283297075024e-01
8.650000000000000000e+01 3.781398770949332966e-01 6.218601229050667589e-01 9.991960151140710789e-01
8.700000000000000000e+01 3.958965418684130544e-01 6.041034581315869456e-01 9.992127594535720192e-01
8.750000000000000000e+01 4.143919448376726655e-01 5.856080551623272790e-01 9.992275539708485033e-01
8.800000000000000000e+01 4.304048115168803701e-01 5.695951884831196299e-01 9.992393515538477988e-01
8.850000000000000000e+01 4.411944830380649107e-01 5.588055169619350337e-01 9.992468430143651714e-01
8.900000000000000000e+01 4.452037766153345566e-01 5.547962233846654989e-01 9.992482304602757770e-01
8.950000000000000000e+01 4.424759899968535581e-01 5.575240100031464419e-01 9.992416447639451693e-01
9.000000000000000000e+01 4.346553645472117089e-01 5.653446354527882356e-01 9.992256072766609876e-01
9.050000000000000000e+01 4.258072289875463601e-01 5.741927710124536954e-01 9.992067454891779832e-01
9.100000000000000000e+01 4.210203638377133517e-01 5.789796361622866483e-01 9.991784641314909177e-01
9.150000000000000000e+01 4.235925846982835363e-01 5.764074153017164637e-01 9.991400135467991550e-01
9.200000000000000000e+01 4.345729092840178720e-01 5.654270907159821835e-01 9.990925489033474216e-01
9.250000000000000000e+01 4.519733448607886617e-01 5.480266551392113383e-01 9.990397467454477098e-01
9.300000000000000000e+01 4.711954626661430390e-01 5.288045373338570165e-01 9.989868826166361515e-01
9.350000000000000000e+01 4.868045971781200798e-01 5.131954028218799202e-01 9.989389642104119504e-01
9.400000000000000000e+01 4.948978867429990602e-01 5.051021132570009398e-01 9.988993052041063025e-01
9.450000000000000000e+01 4.947447891901546324e-01 5.052552108098453676e-01 9.988693398806097745e-01
9.500000000000000000e+01 4.887485121487427087e-01 5.112514878512572913e-01 9.988492932898713761e-01
9.550000000000000000e+01 4.809849604042114590e-01 5.190150395957885410e-01 9.988392224513931161e-01
9.600000000000000000e+01 4.750092870330714367e-01 5.249907129669285633e-01 9.988380557881759714e-01
9.650000000000000000e+01 4.723903915340411097e-01 5.276096084659589458e-01 9.988451280602923532e-01
9.700000000000000000e+01 4.727749805358384405e-01 5.272250194641615595e-01 9.988598169533018378e-01
9.750000000000000000e+01 4.747710859554500895e-01 5.252289140445499660e-01 9.988817333656494490e-01
9.800000000000000000e+01 4.770242854099422392e-01 5.229757145900578719e-01 9.989109317271995803e-01
9.850000000000000000e+01 4.788385133715671871e-01 5.211614866284327574e-01 9.989480246819557596e-01
