# w J_total  J_DrudeLorentz  J_BrownianOscillator
3.061530765382691470e+02 1.500085026395944965e+02 1.262114497936978097e+02 2.379705284589668679e+01
3.081540770385192900e+02 1.508853561996268979e+02 1.267694078427201845e+02 2.411594835690671701e+01
3.101550775387694330e+02 1.517629273041625879e+02 1.273232864474096857e+02 2.443964085675290576e+01
3.121560780390195191e+02 1.526413220932217030e+02 1.278730887320402303e+02 2.476823336118147267e+01
3.141570785392696621e+02 1.535206495843657990e+02 1.284188181272369604e+02 2.510183145712884922e+01
3.161580790395198051e+02 1.544010217438411701e+02 1.289604783662773002e+02 2.544054337756388051e+01
3.181590795397698912e+02 1.552825535600849776e+02 1.294980734813774745e+02 2.578448007870749592e+01
3.201600800400200342e+02 1.561653631196745096e+02 1.300316077999660251e+02 2.613375531970848442e+01
3.221610805402701772e+02 1.570495716858014248e+02 1.305610859409447357e+02 2.648848574485667839e+01
3.241620810405202633e+02 1.579353037793563033e+02 1.310865128109390412e+02 2.684879096841726209e+01
3.261630815407704063e+02 1.588226872627117814e+02 1.316078936005389437e+02 2.721479366217283768e+01
3.281640820410205492e+02 1.597118534262927483e+02 1.321252337805311470e+02 2.758661964576160841e+01
3.301650825412706354e+02 1.606029370780279919e+02 1.326385390981241983e+02 2.796439797990377940e+01
3.321660830415207784e+02 1.614960766357778255e+02 1.331478155731675486e+02 2.834826106261026979e+01
3.341670835417709213e+02 1.623914142228361186e+02 1.336530694943656670e+02 2.873834472847044097e+01
3.361680840420210643e+02 1.632890957666073177e+02 1.341543074154883755e+02 2.913478835111893517e+01
3.381690845422711504e+02 1.641892711005623369e+02 1.346515361515784832e+02 2.953773494898383944e+01
3.401700850425212934e+02 1.650920940695794457e+02 1.351447627751578864e+02 2.994733129442157349e+01
3.421710855427714364e+02 1.659977226387794360e+02 1.356339946124332130e+02 3.036372802634622303e+01
3.441720860430215225e+02 1.669063190059664521e+02 1.361192392395019226e+02 3.078707976646451883e+01
3.461730865432716655e+02 1.678180497177898758e+02 1.366005044785600546e+02 3.121754523922981406e+01
3.481740870435218085e+02 1.687330857897438818e+02 1.370777983941126195e+02 3.165528739563125171e+01
3.501750875437718946e+02 1.696516028301246024e+02 1.375511292891873723e+02 3.210047354093723726e+01
3.521760880440220376e+02 1.705737811680688196e+02 1.380205057015537307e+02 3.255327546651508897e+01
3.541770885442721806e+02 1.714998059857969679e+02 1.384859363999466098e+02 3.301386958585037235e+01
3.561780890445222667e+02 1.724298674551903900e+02 1.389474303802969644e+02 3.348243707489342569e+01
3.581790895447724097e+02 1.733641608788316830e+02 1.394049968619701190e+02 3.395916401686154984e+01
3.601800900450225527e+02 1.743028868356399812e+02 1.398586452840117715e+02 3.444424155162820256e+01
3.621810905452726388e+02 1.752462513312364649e+02 1.403083853014037743e+02 3.493786602983267642e+01
3.641820910455227818e+02 1.761944659531748982e+02 1.407542267813295496e+02 3.544023917184535577e+01
3.661830915457729247e+02 1.771477480311758086e+02 1.411961797994507606e+02 3.595156823172504801e+01
3.681840920460230109e+02 1.781063208025025517e+02 1.416342546361954078e+02 3.647206616630715104e+01
3.701850925462731539e+02 1.790704135826198353e+02 1.420684617730586865e+02 3.700195180956114882e+01
3.721860930465232968e+02 1.800402619412749061e+02 1.424988118889171176e+02 3.754145005235779564e+01
