# w  J_DrudeLorentz  J_BrownianOscillator  J_total
2.101050525262631368e+02 1.099846633205059021e+02 9.465639417620558049e+01 1.532826914430032517e+01
2.121060530265132797e+02 1.109576904467491261e+02 9.540698041375718219e+01 1.555071003299195098e+01
2.141070535267633943e+02 1.119296380261146453e+02 9.615376275291006891e+01 1.577587527320457106e+01
2.161080540270135089e+02 1.129005474429029903e+02 9.689672589987470985e+01 1.600382154302828397e+01
2.181090545272636518e+02 1.138704617764671525e+02 9.763585499972971604e+01 1.623460677673744001e+01
2.201100550275137664e+02 1.148394258346792185e+02 9.837113563512279768e+01 1.646829019955641371e+01
2.221110555277639094e+02 1.158074861883553126e+02 9.910255382488692533e+01 1.670493236346838017e+01
2.241120560280140239e+02 1.167746912066744756e+02 9.983009602257261861e+01 1.694459518410186050e+01
2.261130565282641385e+02 1.177410910936293789e+02 1.005537491148985936e+02 1.718734197873078173e+01
2.281140570285142815e+02 1.187067379255462214e+02 1.012735004201209534e+02 1.743323750542527151e+01
2.301150575287643960e+02 1.196716856897151331e+02 1.019893376863236938e+02 1.768234800339144641e+01
2.321160580290145390e+02 1.206359903241709901e+02 1.027012490896311334e+02 1.793474123453985669e+01
2.341170585292646535e+02 1.215997097586672737e+02 1.034092232323436207e+02 1.819048652632366014e+01
2.361180590295147681e+02 1.225629039568879506e+02 1.041132491409989882e+02 1.844965481588895884e+01
2.381190595297649111e+02 1.235256349599409305e+02 1.048133162643598979e+02 1.871231869558102545e+01
2.401200600300150256e+02 1.244879669311815036e+02 1.055094144713295776e+02 1.897855245985192241e+01
2.421210605302651402e+02 1.254499662024134068e+02 1.062015340487970718e+02 1.924843215361632787e+01
2.441220610305152832e+02 1.264117013215175689e+02 1.068896656994135697e+02 1.952203562210399923e+01
2.461230615307653977e+02 1.273732431015601492e+02 1.075738005393011036e+02 1.979944256225904908e+01
2.481240620310155123e+02 1.283346646714335293e+02 1.082539300956957504e+02 2.008073457573777176e+01
2.501250625312656553e+02 1.292960415280845154e+02 1.089300463045260159e+02 2.036599522355851022e+01
2.521260630315157698e+02 1.302574515903875749e+02 1.096021415079286925e+02 2.065531008245887534e+01
2.541270635317659128e+02 1.312189752547209025e+02 1.102702084517033967e+02 2.094876680301749872e+01
2.561280640320160273e+02 1.321806954523063098e+02 1.109342402827070799e+02 2.124645516959921920e+01
2.581290645322661703e+02 1.331426977083756640e+02 1.115942305461909427e+02 2.154846716218472835e+01
2.601300650325162565e+02 1.341050702032273136e+02 1.122501731830797240e+02 2.185489702014759317e+01
2.621310655327663994e+02 1.350679038352404575e+02 1.129020625271968612e+02 2.216584130804358566e+01
2.641320660330165424e+02 1.360312922859149012e+02 1.135498933024354358e+02 2.248139898347947607e+01
2.661330665332666285e+02 1.369953320870075970e+02 1.141936606198772495e+02 2.280167146713035820e+01
2.681340670335167715e+02 1.379601226898386699e+02 1.148333599748615086e+02 2.312676271497715419e+01
2.701350675337669145e+02 1.389257665368418486e+02 1.154689872440043814e+02 2.345677929283747787e+01
2.721360680340170575e+02 1.398923691354376331e+02 1.161005386821712193e+02 2.379183045326640311e+01
2.741370685342671436e+02 1.408600391343076410e+02 1.167280109194028341e+02 2.413202821490481753e+01
2.761380690345172866e+02 1.418288884021538934e+02 1.173514009577974804e+02 2.447748744435641299e+01
2.781390695347674296e+02 1.427990321090260011e+02 1.179707061683498637e+02 2.482832594067613385e+01
2.801400700350175157e+02 1.437705888103044174e+02 1.185859242877487674e+02 2.518466452255564292e+01
2.821410705352676587e+02 1.447436805334290568e+02 1.191970534151351444e+02 2.554662711829391952e+01
2.841420710355178016e+02 1.457184328674648270e+02 1.198040920088215273e+02 2.591434085864329973e+01
2.861430715357678878e+02 1.466949750555988032e+02 1.204070388829745610e+02 2.628793617262423155e+01
2.881440720360180308e+02 1.476734400906668156e+02 1.210058932042626054e+02 2.666754688640419957e+01
2.901450725362681737e+02 1.486539648138079883e+02 1.216006544884688907e+02 2.705331032533908342e+01
2.921460730365182599e+02 1.496366900163500873e+02 1.221913225970724568e+02 2.744536741927763401e+01
2.941470735367684028e+02 1.506217605450308383e+02 1.227778977337983122e+02 2.784386281123251194e+01
2.961480740370185458e+02 1.516093254106613415e+02 1.233603804411376785e+02 2.824894496952367007e+01
2.981490745372686320e+02 1.525995379003425967e+02 1.239387715968401835e+02 2.866076630350240251e+01
3.001500750375187749e+02 1.535925556933467533e+02 1.245130724103796496e+02 2.907948328296710017e+01
3.021510755377689179e+02 1.545885409807780491e+02 1.250832844193941895e+02 2.950525656138386665e+01
3.041520760380190040e+02 1.555876605891301381e+02 1.256494094861024848e+02 2.993825110302766035e+01
3.061530765382691470e+02 1.565900861078597757e+02 1.262114497936978097e+02 3.037863631416195886e+01
3.081540770385192900e+02 1.575959940210969137e+02 1.267694078427201845e+02 3.082658617837673631e+01
3.101550775387694330e+02 1.586055658436167732e+02 1.273232864474096857e+02 3.128227939620707687e+01
