# time rdo00 rdo01 rdo10 rdo11
467.0000000000017 0.01165965+0.00104762j -0.07313134-0.01650978j -0.07190664-0.00100340j 0.52837714+0.04340907j
468.0000000000017 0.01234639+0.00129214j -0.07617729-0.01368293j -0.07352090-0.00561771j 0.52792315+0.04350863j
469.0000000000017 0.01248314+0.00163128j -0.07798417-0.01077694j -0.07271695-0.01096946j 0.52803375+0.04364851j
470.00000000000176 0.01207329+0.00197678j -0.07876479-0.00817827j -0.06902162-0.01571194j 0.52868972+0.04391286j
471.00000000000176 0.01123168+0.00215573j -0.07885291-0.00633992j -0.06282356-0.01791972j 0.52974088+0.04440382j
472.00000000000176 0.01025320+0.00200045j -0.07882218-0.00569450j -0.05589415-0.01593620j 0.53087377+0.04521966j
473.00000000000176 0.00958635+0.00143435j -0.07931903-0.00618264j -0.05110079-0.00960305j 0.53164085+0.04641331j
474.00000000000176 0.00960071+0.00052532j -0.08050505-0.00703294j -0.05070006-0.00104727j 0.53169405+0.04787515j
475.00000000000176 0.01030902-0.00052697j -0.08193599-0.00742597j -0.05457541+0.00687274j 0.53104430+0.04934599j
476.0000000000017 0.01145428-0.00152946j -0.08302519-0.00712021j -0.06117985+0.01257843j 0.52995611+0.05059643j
477.0000000000017 0.01280491-0.00234534j -0.08351284-0.00631902j -0.06894930+0.01567373j 0.52870609+0.05149288j
478.0000000000018 0.01416465-0.00269302j -0.08354776-0.00513366j -0.07668664+0.01626415j 0.52749690+0.05199703j
479.0000000000018 0.01528902-0.00262547j -0.08338575-0.00348368j -0.08343176+0.01457156j 0.52648548+0.05214068j
480.0000000000018 0.01609625-0.00236576j -0.08304771-0.00106024j -0.08860277+0.01085920j 0.52579405+0.05199956j
481.0000000000018 0.01632968-0.00200822j -0.08182833+0.00245027j -0.09195880+0.00560068j 0.52555874+0.05167360j
482.00000000000176 0.01576337-0.00158042j -0.07873526+0.00637715j -0.09312914-0.00041829j 0.52592335+0.05120605j
483.00000000000176 0.01449845-0.00102882j -0.07342355+0.00949928j -0.09204945-0.00642561j 0.52691802+0.05059317j
484.00000000000176 0.01270617-0.00035006j -0.06632435+0.01056471j -0.08905519-0.01161234j 0.52843743+0.04983031j
485.00000000000176 0.01066731+0.00040361j -0.05870151+0.00864105j -0.08487518-0.01518606j 0.53021988+0.04891308j
486.00000000000176 0.00879625+0.00118006j -0.05243557+0.00368468j -0.08058545-0.01675428j 0.53186066+0.04783265j
487.0000000000018 0.00747887+0.00196743j -0.04917503-0.00312540j -0.07716109-0.01680685j 0.53297425+0.04659262j
488.0000000000018 0.00687732+0.00274544j -0.04941495-0.01000020j -0.07485762-0.01648996j 0.53344703+0.04525574j
489.0000000000018 0.00693891+0.00335494j -0.05254691-0.01554165j -0.07312957-0.01669279j 0.53347857+0.04397036j
490.0000000000018 0.00747955+0.00364128j -0.05751716-0.01913131j -0.07113735-0.01745051j 0.53336711+0.04295613j
491.0000000000018 0.00804387+0.00372376j -0.06336136-0.02076387j -0.06839422-0.01805733j 0.53328629+0.04244549j
492.0000000000018 0.00840587+0.00345771j -0.06933560-0.02062883j -0.06501873-0.01780699j 0.53325576+0.04257830j
493.0000000000018 0.00859853+0.00278769j -0.07479044-0.01898990j -0.06148109-0.01647855j 0.53326087+0.04331667j
494.0000000000018 0.00867712+0.00181609j -0.07918437-0.01630436j -0.05818313-0.01428059j 0.53331117+0.04447809j
495.0000000000019 0.00869436+0.00060226j -0.08231426-0.01312725j -0.05535166-0.01122324j 0.53337433+0.04588572j
496.0000000000019 0.00875282-0.00088513j -0.08427507-0.00969843j -0.05366149-0.00684351j 0.53333028+0.04746507j
497.0000000000019 0.00902435-0.00251272j -0.08500887-0.00590426j -0.05430714-0.00136900j 0.53308335+0.04912818j
498.0000000000019 0.00957498-0.00389745j -0.08424984-0.00182318j -0.05761827+0.00389471j 0.53269135+0.05068755j
499.0000000000019 0.01015604-0.00495273j -0.08186532+0.00190836j -0.06278646+0.00798100j 0.53230415+0.05193866j
500.0000000000019 0.01063204-0.00571009j -0.07808101+0.00439987j -0.06896884+0.01072428j 0.53201268+0.05272711j
501.0000000000019 0.01100804-0.00609447j -0.07357951+0.00498369j -0.07560123+0.01213316j 0.53179793+0.05296078j
502.0000000000019 0.01134040-0.00601215j -0.06936717+0.00355303j -0.08211911+0.01214523j 0.53157814+0.05263109j
503.00000000000193 0.01168620-0.00543512j -0.06642981+0.00067581j -0.08790791+0.01075241j 0.53127236+0.05182687j
504.00000000000193 0.01208258-0.00445325j -0.06527919-0.00266270j -0.09254259+0.00815902j 0.53083943+0.05070325j
505.00000000000193 0.01252484-0.00323508j -0.06575580-0.00573217j -0.09594167+0.00477393j 0.53028480+0.04940047j
506.00000000000193 0.01293038-0.00183774j -0.06743839-0.00835889j -0.09818636+0.00096125j 0.52964619+0.04799720j
507.00000000000193 0.01327066-0.00026949j -0.07000231-0.01039932j -0.09922944-0.00313769j 0.52899677+0.04656482j
508.00000000000193 0.01360339+0.00118289j -0.07309224-0.01144897j -0.09891265-0.00751751j 0.52844804+0.04521817j
509.0000000000019 0.01376466+0.00229009j -0.07619340-0.01111078j -0.09713866-0.01214039j 0.52813229+0.04408716j
510.0000000000019 0.01355682+0.00299658j -0.07870278-0.00930738j -0.09380661-0.01681857j 0.52818402+0.04326904j
511.0000000000019 0.01283675+0.00328730j -0.08007021-0.00629386j -0.08881710-0.02113892j 0.52870914+0.04282052j
512.0000000000019 0.01154960+0.00320031j -0.07986427-0.00258254j -0.08223902-0.02445425j 0.52975542+0.04276556j
513.0000000000019 0.00980493+0.00283758j -0.07783503+0.00112833j -0.07446659-0.02601127j 0.53128722+0.04310031j
514.0000000000019 0.00785511+0.00229670j -0.07399442+0.00408553j -0.06623787-0.02516908j 0.53317018+0.04379080j
515.0000000000019 0.00598786+0.00165858j -0.06862126+0.00560345j -0.05855728-0.02158260j 0.53519126+0.04475658j
516.0000000000019 0.00453620+0.00102275j -0.06234656+0.00501166j -0.05269614-0.01527291j 0.53707587+0.04583001j
517.0000000000019 0.00396345+0.00048499j -0.05685521+0.00180160j -0.05044502-0.00700293j 0.53836127+0.04669192j
518.0000000000019 0.00456600+0.00005489j -0.05430625-0.00292202j -0.05299672+0.00065676j 0.53857576+0.04710415j
519.0000000000019 0.00589845-0.00014749j -0.05440990-0.00708360j -0.05870791+0.00492428j 0.53798105+0.04716261j
520.000000000002 0.00708663+0.00001515j -0.05581134-0.01004824j -0.06477505+0.00534540j 0.53718322+0.04701753j
521.000000000002 0.00792578+0.00041289j -0.05778101-0.01196083j -0.06922914+0.00307579j 0.53656602+0.04681036j
522.000000000002 0.00839818+0.00084166j -0.05998924-0.01290667j -0.07125298-0.00022342j 0.53626739+0.04670815j
523.000000000002 0.00852056+0.00108946j -0.06208834-0.01272685j -0.07095471-0.00301096j 0.53628040+0.04688452j
524.000000000002 0.00840610+0.00099071j -0.06355133-0.01119828j -0.06914082-0.00411514j 0.53651386+0.04746472j
525.0000000000019 0.00837104+0.00054567j -0.06399718-0.00873318j -0.06740063-0.00289395j 0.53674371+0.04838407j
526.0000000000019 0.00882641+0.00003622j -0.06407542-0.00735655j -0.06773527+0.00007583j 0.53657002+0.04920037j
527.0000000000019 0.00956244-0.00019601j -0.06508667-0.00860926j -0.07031139+0.00297322j 0.53583193+0.04948605j
528.000000000002 0.01040874-0.00010713j -0.06746002-0.01123278j -0.07384198+0.00483479j 0.53473536+0.04935505j
529.000000000002 0.01135276+0.00012218j -0.07100385-0.01365370j -0.07760113+0.00554649j 0.53348409+0.04904088j
530.000000000002 0.01230568+0.00037289j -0.07519955-0.01496398j -0.08124254+0.00509846j 0.53224616+0.04868221j
531.000000000002 0.01316267+0.00061264j -0.07930923-0.01480720j -0.08446133+0.00353907j 0.53117156+0.04835178j
532.000000000002 0.01387035+0.00086671j -0.08262990-0.01330634j -0.08695039+0.00104964j 0.53036900+0.04807985j
533.000000000002 0.01438737+0.00114125j -0.08478268-0.01089357j -0.08845190-0.00206209j 0.52988489+0.04787118j
534.000000000002 0.01463265+0.00135831j -0.08583754-0.00798242j -0.08873021-0.00540759j 0.52970964+0.04773606j
535.000000000002 0.01453108+0.00143797j -0.08607011-0.00460470j -0.08750373-0.00865738j 0.52982186+0.04771054j
536.000000000002 0.01398673+0.00134042j -0.08533941-0.00045850j -0.08457412-0.01172529j 0.53024392+0.04783277j
537.000000000002 0.01291036+0.00110151j -0.08279362+0.00431485j -0.07999514-0.01451377j 0.53106962+0.04811589j
538.000000000002 0.01130290+0.00081273j -0.07757040+0.00857246j -0.07401398-0.01653412j 0.53241843+0.04853862j
539.000000000002 0.00931827+0.00057643j -0.06972966+0.01047867j -0.06708238-0.01696290j 0.53431977+0.04902395j
540.000000000002 0.00732411+0.00045252j -0.06088718+0.00823479j -0.06024120-0.01482982j 0.53654592+0.04942334j
541.000000000002 0.00597946+0.00042451j -0.05434768+0.00164552j -0.05571390-0.00968967j 0.53837322+0.04957502j
542.000000000002 0.00577433+0.00048635j -0.05255539-0.00644868j -0.05549613-0.00322079j 0.53899688+0.04948313j
543.000000000002 0.00652419+0.00067808j -0.05473308-0.01290837j -0.05895282+0.00174286j 0.53846288+0.04927130j
544.000000000002 0.00772442+0.00092084j -0.05895480-0.01648994j -0.06402322+0.00369629j 0.53734371+0.04904744j
545.0000000000022 0.00883591+0.00115269j -0.06360733-0.01720658j -0.06881928+0.00265515j 0.53618024+0.04892038j
546.0000000000022 0.00956466+0.00137620j -0.06753272-0.01563284j -0.07208384-0.00050658j 0.53532616+0.04899465j
547.0000000000022 0.00979553+0.00153854j -0.06995500-0.01252501j -0.07319663-0.00461726j 0.53496240+0.04934637j
548.0000000000022 0.00948091+0.00156703j -0.07035000-0.00862485j -0.07204595-0.00849066j 0.53514942+0.05001587j
549.0000000000022 0.00864156+0.00139505j -0.06835669-0.00467531j -0.06895507-0.01100831j 0.53585230+0.05098912j
550.0000000000022 0.00747128+0.00099037j -0.06393395-0.00159797j -0.06476538-0.01111867j 0.53692382+0.05214882j
551.0000000000022 0.00644912+0.00044518j -0.05785497-0.00072350j -0.06111601-0.00804974j 0.53805791+0.05322279j
552.000000000002 0.00620739+0.00014771j -0.05240307-0.00359728j -0.06026570-0.00236023j 0.53873557+0.05381283j
553.0000000000022 0.00693061+0.00042286j -0.05063575-0.01012419j -0.06311624+0.00341669j 0.53847249+0.05371019j
554.0000000000022 0.00831699+0.00104540j -0.05365770-0.01764708j -0.06825010+0.00709344j 0.53727839+0.05313955j
555.0000000000022 0.01002656+0.00169205j -0.06040103-0.02342862j -0.07386527+0.00824038j 0.53552236+0.05244435j
556.0000000000022 0.01176686+0.00218351j -0.06903972-0.02599402j -0.07886753+0.00729756j 0.53361580+0.05186497j
557.0000000000022 0.01331737+0.00245493j -0.07767945-0.02498294j -0.08272938+0.00480984j 0.53190711+0.05153016j
558.0000000000022 0.01447238+0.00249729j -0.08469301-0.02084999j -0.08513935+0.00120434j 0.53066240+0.05148054j
559.0000000000022 0.01501129+0.00232380j -0.08898310-0.01455413j -0.08577466-0.00317636j 0.53006115+0.05169030j
560.0000000000022 0.01477477+0.00197472j -0.09001235-0.00723271j -0.08419519-0.00798626j 0.53021732+0.05209564j
561.0000000000022 0.01368017+0.00155634j -0.08755201-0.00027614j -0.07995662-0.01263573j 0.53120252+0.05261009j
562.0000000000023 0.01188542+0.00120545j -0.08191402+0.00401237j -0.07335991-0.01572304j 0.53295217+0.05313430j
563.0000000000022 0.01016290+0.00090283j -0.07555896+0.00339305j -0.06676130-0.01525671j 0.53489007+0.05359982j
564.0000000000022 0.00927786+0.00049387j -0.07186450-0.00059061j -0.06309414-0.01143761j 0.53611526+0.05401386j
565.0000000000022 0.00911343-0.00000567j -0.07113171-0.00441840j -0.06252368-0.00667368j 0.53644412+0.05440400j
566.0000000000022 0.00932954-0.00052034j -0.07182581-0.00635623j -0.06404726-0.00263654j 0.53620563+0.05477100j
567.0000000000022 0.00962891-0.00097868j -0.07238537-0.00624828j -0.06679689-0.00016872j 0.53575867+0.05507853j
568.0000000000022 0.00965641-0.00123570j -0.07174477-0.00486146j -0.06987252+0.00045359j 0.53539944+0.05527969j
569.0000000000022 0.00949839-0.00122329j -0.06959183-0.00338000j -0.07241574-0.00048406j 0.53529904+0.05534795j
570.0000000000023 0.00923102-0.00091675j -0.06640931-0.00282068j -0.07392279-0.00238940j 0.53546572+0.05528229j
571.0000000000023 0.00879821-0.00035282j -0.06308193-0.00361912j -0.07420350-0.00465127j 0.53581690+0.05511344j
572.0000000000023 0.00822019+0.00034103j -0.06039006-0.00560701j -0.07322118-0.00661016j 0.53625917+0.05492778j
573.0000000000023 0.00771434+0.00102635j -0.05893246-0.00842854j -0.07157492-0.00744835j 0.53660716+0.05480018j
574.0000000000023 0.00772238+0.00172515j -0.05956243-0.01172435j -0.07089204-0.00740190j 0.53650898+0.05459681j
575.0000000000023 0.00820624+0.00245595j -0.06253907-0.01436274j -0.07124749-0.00817505j 0.53596749+0.05424924j
576.0000000000023 0.00869815+0.00298373j -0.06669835-0.01524536j -0.07097245-0.01004946j 0.53541943+0.05398579j
577.0000000000023 0.00896061+0.00314417j -0.07062639-0.01434564j -0.06923537-0.01179316j 0.53519328+0.05401221j
578.0000000000023 0.00897580+0.00294935j -0.07340915-0.01238925j -0.06643387-0.01213596j 0.53534953+0.05438062j
579.0000000000023 0.00884056+0.00241933j -0.07470877-0.01038400j -0.06360012-0.01051420j 0.53574509+0.05501150j
580.0000000000023 0.00861342+0.00165036j -0.07464477-0.00928371j -0.06174972-0.00727853j 0.53615359+0.05572863j
581.0000000000023 0.00844938+0.00092440j -0.07364539-0.00983196j -0.06129579-0.00351298j 0.53638890+0.05628918j
582.0000000000023 0.00868869+0.00052255j -0.07259542-0.01249589j -0.06195455-0.00021881j 0.53629618+0.05651198j
583.0000000000023 0.00958080+0.00039998j -0.07301977-0.01692520j -0.06375804+0.00291209j 0.53562220+0.05655543j
584.0000000000023 0.01109201+0.00025692j -0.07590690-0.02141102j -0.06750940+0.00635817j 0.53420760+0.05675062j
585.0000000000023 0.01298856-0.00002488j -0.08085348-0.02399358j -0.07335250+0.00898539j 0.53220165+0.05713099j
586.0000000000023 0.01494750-0.00041340j -0.08663648-0.02353152j -0.08025390+0.00944534j 0.52997229+0.05754723j
587.0000000000024 0.01662674-0.00084839j -0.09175222-0.01980374j -0.08684479+0.00729487j 0.52795244+0.05788996j
588.0000000000024 0.01771222-0.00123180j -0.09477371-0.01342222j -0.09200589+0.00286495j 0.52652569+0.05811867j
589.0000000000024 0.01803670-0.00137322j -0.09470308-0.00569998j -0.09502474-0.00306178j 0.52594538+0.05822279j
590.0000000000023 0.01754979-0.00128007j -0.09128279+0.00160376j -0.09564125-0.00954935j 0.52628199+0.05817905j
591.0000000000023 0.01630395-0.00099302j -0.08514691+0.00684033j -0.09397816-0.01573724j 0.52742305+0.05794646j
592.0000000000023 0.01453059-0.00046728j -0.07760435+0.00901854j -0.09037176-0.02096045j 0.52913249+0.05750062j
593.0000000000023 0.01252614+0.00026870j -0.07019190+0.00803159j -0.08524807-0.02475517j 0.53111904+0.05687465j
594.0000000000023 0.01056304+0.00109523j -0.06415695+0.00458624j -0.07908752-0.02680071j 0.53309153+0.05617584j
595.0000000000024 0.00882570+0.00184126j -0.06005376-0.00014713j -0.07246153-0.02691414j 0.53480996+0.05555376j
596.0000000000024 0.00737653+0.00237858j -0.05776109-0.00511668j -0.06607514-0.02512220j 0.53613533+0.05512182j
597.0000000000024 0.00601497+0.00271214j -0.05714291-0.00982979j -0.06061065-0.02172123j 0.53702761+0.05492051j
598.0000000000024 0.00528566+0.00265250j -0.05825375-0.01414121j -0.05633455-0.01715607j 0.53747265+0.05499784j
599.0000000000024 0.00522220+0.00240920j -0.06078220-0.01770460j -0.05352663-0.01192802j 0.53747576+0.05540989j
600.0000000000024 0.00559165+0.00203147j -0.06430045-0.02040581j -0.05266386-0.00658413j 0.53707205+0.05608066j
601.0000000000024 0.00637823+0.00156517j -0.06862526-0.02223183j -0.05406289-0.00170503j 0.53626966+0.05683875j
602.0000000000024 0.00755283+0.00102728j -0.07359036-0.02295617j -0.05754162+0.00227524j 0.53507715+0.05756074j
603.0000000000024 0.00901073+0.00040923j -0.07868329-0.02214455j -0.06241246+0.00533368j 0.53359280+0.05827419j
604.0000000000024 0.01054068-0.00019955j -0.08302953-0.01959922j -0.06812333+0.00721558j 0.53201292+0.05900795j
605.0000000000024 0.01192628-0.00071333j -0.08593533-0.01565280j -0.07426737+0.00741619j 0.53052659+0.05968650j
606.0000000000024 0.01302058-0.00108748j -0.08706116-0.01106823j -0.08020240+0.00584670j 0.52932103+0.06019774j
607.0000000000024 0.01374675-0.00127005j -0.08646620-0.00673356j -0.08524765+0.00285693j 0.52854112+0.06045044j
608.0000000000024 0.01409468-0.00122583j -0.08455088-0.00333164j -0.08892572-0.00096983j 0.52823761+0.06040420j
609.0000000000024 0.01410808-0.00094129j -0.08187674-0.00120490j -0.09103840-0.00500134j 0.52836852+0.06006975j
610.0000000000024 0.01384948-0.00042709j -0.07898961-0.00039240j -0.09163198-0.00866858j 0.52883079+0.05950102j
611.0000000000024 0.01338321+0.00025137j -0.07632655-0.00073951j -0.09093072-0.01153503j 0.52949350+0.05878120j
612.0000000000025 0.01279356+0.00098165j -0.07420320-0.00198028j -0.08926467-0.01335032j 0.53022381+0.05800627j
613.0000000000025 0.01217128+0.00165976j -0.07282522-0.00375165j -0.08699517-0.01409824j 0.53090833+0.05726989j
614.0000000000025 0.01159743+0.00221781j -0.07226085-0.00559561j -0.08443782-0.01401761j 0.53147249+0.05664924j
615.0000000000025 0.01113598+0.00261863j -0.07238898-0.00704142j -0.08179936-0.01354009j 0.53189373+0.05619278j
616.0000000000024 0.01077507+0.00284587j -0.07290961-0.00777012j -0.07914742-0.01310386j 0.53220210+0.05591718j
617.0000000000024 0.01042897+0.00290642j -0.07344014-0.00771330j -0.07643119-0.01292562j 0.53246471+0.05581955j
618.0000000000024 0.01000749+0.00281308j -0.07363653-0.00699784j -0.07356524-0.01292799j 0.53275442+0.05589162j
619.0000000000024 0.00947432+0.00258365j -0.07325681-0.00583374j -0.07051916-0.01286249j 0.53312221+0.05612004j
620.0000000000025 0.00884085+0.00226101j -0.07215830-0.00445386j -0.06734184-0.01248891j 0.53359218+0.05647868j
621.0000000000025 0.00811165+0.00189647j -0.07026497-0.00313114j -0.06409981-0.01170040j 0.53417843+0.05692367j
622.0000000000025 0.00727589+0.00153490j -0.06754597-0.00229007j -0.06076986-0.01052042j 0.53490940+0.05738978j
623.0000000000025 0.00637006+0.00121045j -0.06420387-0.00278341j -0.05733617-0.00881521j 0.53579448+0.05777420j
624.0000000000025 0.00571014+0.00092109j -0.06147888-0.00568371j -0.05485342-0.00568322j 0.53652482+0.05798218j
625.0000000000025 0.00580005+0.00065605j -0.06115421-0.00993594j -0.05585142-0.00106132j 0.53642517+0.05811379j
626.0000000000025 0.00655507+0.00046200j -0.06296348-0.01314035j -0.06016263+0.00255268j 0.53551302+0.05825769j
627.0000000000025 0.00759014+0.00037706j -0.06560174-0.01455067j -0.06565656+0.00385151j 0.53431676+0.05839068j
628.0000000000025 0.00862049+0.00041991j -0.06813550-0.01447747j -0.07086026+0.00307575j 0.53323106+0.05847938j
629.0000000000025 0.00948325+0.00056468j -0.07010757-0.01347306j -0.07504208+0.00094887j 0.53243577+0.05851266j
630.0000000000025 0.01009880+0.00076557j -0.07141931-0.01200948j -0.07792321-0.00180655j 0.53195311+0.05850979j
631.0000000000025 0.01044561+0.00097476j -0.07217283-0.01033824j -0.07947095-0.00465600j 0.53172588+0.05851755j
632.0000000000025 0.01053838+0.00116706j -0.07249030-0.00857000j -0.07977650-0.00729137j 0.53169405+0.05856936j
633.0000000000025 0.01040804+0.00135975j -0.07244072-0.00693043j -0.07899203-0.00952397j 0.53183266+0.05863607j
634.0000000000025 0.01010203+0.00157858j -0.07213145-0.00585963j -0.07733129-0.01109962j 0.53212911+0.05865642j
635.0000000000025 0.00970063+0.00180331j -0.07179939-0.00576270j -0.07512038-0.01170704j 0.53253410+0.05861778j
636.0000000000025 0.00931071+0.00196947j -0.07176779-0.00673799j -0.07278788-0.01119452j 0.53294794+0.05856818j
637.0000000000026 0.00904013+0.00201577j -0.07232910-0.00853872j -0.07077076-0.00970390j 0.53325252+0.05857005j
638.0000000000026 0.00897771+0.00192221j -0.07365321-0.01069136j -0.06942934-0.00760334j 0.53335113+0.05866714j
639.0000000000026 0.00917265+0.00170606j -0.07574982-0.01263815j -0.06900095-0.00531059j 0.53319100+0.05888125j
640.0000000000026 0.00961423+0.00139141j -0.07844494-0.01385384j -0.06956365-0.00314903j 0.53277118+0.05921870j
641.0000000000026 0.01023366+0.00099063j -0.08135341-0.01394814j -0.07102342-0.00131924j 0.53214442+0.05967010j
642.0000000000026 0.01092991+0.00052304j -0.08392243-0.01274389j -0.07316686+0.00000210j 0.53140795+0.06020114j
643.0000000000025 0.01158631+0.00003747j -0.08557035-0.01033842j -0.07573038+0.00059193j 0.53067978+0.06074687j
644.0000000000025 0.01208054-0.00039513j -0.08582678-0.00713379j -0.07844015+0.00028214j 0.53007338+0.06122606j
645.0000000000026 0.01231805-0.00069087j -0.08447797-0.00375912j -0.08100237-0.00098304j 0.52967991+0.06155537j
646.0000000000026 0.01226059-0.00077304j -0.08165730-0.00088193j -0.08310480-0.00315861j 0.52955655+0.06166224j
647.0000000000026 0.01191901-0.00060063j -0.07779984+0.00098039j -0.08444406-0.00608628j 0.52972316+0.06150158j
648.0000000000026 0.01133869-0.00018337j -0.07350093+0.00156364j -0.08476695-0.00947591j 0.53016548+0.06106876j
649.0000000000026 0.01058561+0.00041972j -0.06936860+0.00085340j -0.08392810-0.01291327j 0.53083753+0.06040407j
650.0000000000026 0.00973331+0.00111905j -0.06593519-0.00098101j -0.08194870-0.01591444j 0.53165931+0.05959029j
651.0000000000026 0.00886118+0.00183296j -0.06362362-0.00364278j -0.07903921-0.01803031j 0.53251625+0.05874449j
652.0000000000026 0.00809947+0.00248519j -0.06270304-0.00673365j -0.07555180-0.01897343j 0.53327804+0.05799963j
653.0000000000027 0.00754506+0.00295327j -0.06321676-0.00979637j -0.07189835-0.01869356j 0.53384127+0.05747384j
654.0000000000026 0.00719874+0.00317308j -0.06492939-0.01241375j -0.06848645-0.01732535j 0.53416709+0.05723835j
655.0000000000026 0.00706162+0.00314705j -0.06741506-0.01435803j -0.06568975-0.01505404j 0.53426540+0.05730122j
656.0000000000026 0.00716652+0.00294424j -0.07027080-0.01563362j -0.06383174-0.01199667j 0.53413826+0.05761648j
657.0000000000026 0.00752505+0.00259721j -0.07320469-0.01634628j -0.06317833-0.00828363j 0.53377330+0.05810907j
