# time rdo00 rdo01 rdo10 rdo11
177.00000000000028 0.30075215-0.00000000j -0.07329189+0.01516973j -0.07329189-0.01516974j 0.69924807+0.00000000j
178.00000000000028 0.29892766-0.00000000j -0.07331279+0.01711314j -0.07331279-0.01711314j 0.70107255+0.00000000j
179.00000000000028 0.29688671-0.00000000j -0.07275895+0.01898221j -0.07275895-0.01898221j 0.70311351+0.00000000j
180.00000000000028 0.29464403-0.00000000j -0.07166429+0.02066325j -0.07166429-0.02066325j 0.70535618+0.00000000j
181.00000000000028 0.29222755-0.00000000j -0.07009827+0.02203861j -0.07009827-0.02203861j 0.70777267+0.00000000j
182.0000000000003 0.28967818-0.00000000j -0.06816727+0.02299761j -0.06816727-0.02299761j 0.71032204+0.00000000j
183.00000000000028 0.28704836-0.00000000j -0.06601165+0.02344932j -0.06601166-0.02344932j 0.71295185+0.00000000j
184.0000000000003 0.28439910-0.00000000j -0.06379781+0.02333527j -0.06379781-0.02333527j 0.71560111+0.00000000j
185.0000000000003 0.28179568-0.00000000j -0.06170549+0.02263939j -0.06170549-0.02263939j 0.71820453+0.00000000j
186.0000000000003 0.27930253-0.00000000j -0.05991182+0.02139319j -0.05991183-0.02139320j 0.72069769+0.00000000j
187.0000000000003 0.27697785-0.00000000j -0.05857436+0.01967459j -0.05857436-0.01967459j 0.72302237+0.00000000j
188.00000000000034 0.27486875-0.00000000j -0.05781571+0.01760032j -0.05781571-0.01760032j 0.72513146+0.00000000j
189.00000000000034 0.27300754-0.00000000j -0.05771245+0.01531314j -0.05771245-0.01531314j 0.72699268+0.00000000j
190.00000000000034 0.27140965-0.00000000j -0.05828986+0.01296600j -0.05828986-0.01296600j 0.72859057+0.00000000j
191.00000000000034 0.27007342-0.00000000j -0.05952308+0.01070606j -0.05952308-0.01070606j 0.72992680+0.00000000j
192.00000000000034 0.26898153-0.00000000j -0.06134397+0.00866124j -0.06134396-0.00866124j 0.73101869+0.00000000j
193.00000000000034 0.26810374-0.00000000j -0.06365175+0.00693123j -0.06365175-0.00693123j 0.73189647+0.00000000j
194.00000000000037 0.26740035-0.00000000j -0.06632536+0.00558374j -0.06632536-0.00558374j 0.73259986+0.00000000j
195.00000000000037 0.26682577-0.00000000j -0.06923510+0.00465568j -0.06923510-0.00465568j 0.73317444+0.00000000j
196.00000000000037 0.26633176-0.00000000j -0.07225211+0.00415795j -0.07225211-0.00415795j 0.73366846+0.00000000j
