5.699999999999999  0.13  -2.142413583513247 0.06264306450332391
5.699999999999999  0.13999999999999999  -1.9864186540992428 0.06747302041129043
5.699999999999999  0.15  -1.804610868969684 0.07230297631925704
5.699999999999999  0.16  -1.5969171516327556 0.07708414479380987
5.699999999999999  0.16999999999999998  -1.3565691340366364 0.0819141007017764
5.699999999999999  0.18  -1.082752620953059 0.08674405660974294
5.699999999999999  0.19  -0.7724123289728908 0.0915740125177095
5.699999999999999  0.19999999999999998  -0.42593997327692 0.09635518099226231
5.8  0.0  -2.755942221128495 0.0
5.8  0.01  -2.7651567546547593 0.004903137058087245
5.8  0.019999999999999997  -2.7786736847043088 0.00980627411617463
5.8  0.03  -2.7922802934537865 0.014709411174261874
5.8  0.04  -2.8020515142788973 0.019612548232349078
5.8  0.049999999999999996  -2.8064518951117785 0.024515685290436337
5.8  0.060000000000000005  -2.802602429485785 0.029418822348523693
5.8  0.07  -2.7898734098224898 0.03432195940661094
5.8  0.08  -2.7653846141817153 0.03922509646469817
5.8  0.09000000000000001  -2.729049774620555 0.04412823352278539
5.8  0.1  -2.6775871510724123 0.049031370580872743
5.8  0.11  -2.611378699407105 0.05393450763895997
5.8  0.12000000000000001  -2.526472380283444 0.05883764469704722
5.8  0.13  -2.4237297246216976 0.06374078175513448
5.8  0.13999999999999999  -2.2982880191384387 0.06864391881322182
5.8  0.15  -2.151538075824562 0.07354705587130908
5.8  0.16  -1.977457266887658 0.07845019292939634
5.8  0.16999999999999998  -1.7780382618774286 0.0833533299874836
5.8  0.18  -1.5458192596842775 0.08825646704557082
5.8  0.19  -1.28348487468908 0.09315960410365813
5.8  0.19999999999999998  -0.9818075289290586 0.0980627411617454
5.8999999999999995  0.0  -2.7843392869511288 1.3877787807814457e-16
5.8999999999999995  0.01  -2.7952734082284163 0.005000711924914886
5.8999999999999995  0.019999999999999997  -2.8136762932518344 0.009977030133122872
5.8999999999999995  0.03  -2.8341887429160746 0.014953348341330802
5.8999999999999995  0.04  -2.8533905821991334 0.019929666549538858
5.8999999999999995  0.049999999999999996  -2.8689321193251116 0.024954772191160657
5.8999999999999995  0.060000000000000005  -2.8784879719259306 0.029931090399368476
5.8999999999999995  0.07  -2.8804789164697953 0.03490740860757657
5.8999999999999995  0.08  -2.873291673099689 0.03988372681578449
5.8999999999999995  0.09000000000000001  -2.855147454421682 0.04490883245740619
5.8999999999999995  0.1  -2.824860464686756 0.04988515066561436
5.8999999999999995  0.11  -2.7807666603183545 0.054861468873822296
5.8999999999999995  0.12000000000000001  -2.7212761375234935 0.059837787082030275
5.8999999999999995  0.13  -2.6438859157139296 0.06486289272365207
5.8999999999999995  0.13999999999999999  -2.548325707667482 0.06983921093185998
5.8999999999999995  0.15  -2.432053084371442 0.07481552914006795
5.8999999999999995  0.16  -2.293049650524959 0.07979184734827593
5.8999999999999995  0.16999999999999998  -2.129332340575913 0.08479255927319083
5.8999999999999995  0.18  -1.9359141767205053 0.08979327119810565
5.8999999999999995  0.19  -1.714536898141656 0.09476958940631372
5.8999999999999995  0.19999999999999998  -1.4604310644591454 0.09974590761452157
6.0  0.0  -2.7682204608884797 3.191891195797325e-16
6.0  0.01  -2.7810331184330206 0.005073893075035585
6.0  0.019999999999999997  -2.804287017320344 0.010147786150071197
6.0  0.03  -2.8319654752032317 0.015221679225106824
6.0  0.04  -2.8603541967128896 0.02029557230014241
