time_fs,full_10state_c60_mean,full_10state_c60_ci95,reduced_4d3a_c60_mean,reduced_4d3a_c60_ci95,partition_acceptor_mean,donor_acceptor_coherence_mean,donor_acceptor_coherence_ci95,participation_ratio_mean
31.0,0.10467955315241531,0.04247223968575119,0.0984902092783737,0.03982532779869252,0.09686907773972026,0.2784300398569786,0.051274397364661745,3.1168937665790573
31.5,0.10820911667231263,0.04177863140879505,0.10102959748641058,0.03868678695752014,0.09930057046438574,0.28311816421357694,0.04929532220327259,3.167637797505513
32.0,0.1114953412025913,0.0408794958778702,0.10333159006358568,0.0373244769098829,0.10151595332921881,0.28736170741905487,0.04753304860650505,3.183694646331955
32.5,0.11418186706384097,0.03980112483150463,0.1052372251476339,0.03580846977388188,0.10336705469196347,0.290911177456008,0.04613205158073004,3.167707365357879
33.0,0.11602647504808913,0.03852766978210309,0.10665770630781132,0.03422950304048529,0.10477173846421935,0.2936275566996702,0.04520272860329081,3.1390687631270664
33.5,0.11694081841812687,0.037050505033727414,0.1075867965668607,0.032734154285779526,0.10572425558641327,0.2954667193580325,0.04483538704667602,3.1223366881385792
34.0,0.1170039962966382,0.03545226523429149,0.10810019047395933,0.03155396244288236,0.10629545664585431,0.29646478823047656,0.04509690005802,3.1357087069662666
34.5,0.11643374949275062,0.03397108524085861,0.10833544551184401,0.030990397474738408,0.10661248001582331,0.2967176338987,0.046011803127839354,3.1859791163853375
35.0,0.11557054767957235,0.03301756614004811,0.10848231693629846,0.03133536082664769,0.1068513803179774,0.2963876995725294,0.04755309258287082,3.2703350329235854
35.5,0.11474656829254722,0.032943928143327916,0.10875174494188514,0.032746328661665124,0.10720879310163703,0.2956911184254408,0.049637175245841096,3.3810701197374144
36.0,0.11434436515962025,0.033988913341246804,0.10936367732697232,0.03517429874603395,0.10789214090671032,0.29490874104995585,0.05212081618339417,3.5092064916594246
36.5,0.1146626664988227,0.0360775331110211,0.11052680124912165,0.03838663665979997,0.10910178282680916,0.2943943976148287,0.054776497607651214,3.6448932362280524
37.0,0.11591913861864929,0.03890513018319212,0.1124269500624964,0.04206195311620571,0.11102159876842563,0.29457735737166846,0.057283879627412666,3.7754839418111197
37.5,0.11823443317318787,0.042080899441707516,0.11519975376864837,0.04587195011335647,0.11379102216476415,0.29588530075440134,0.05930316074153769,3.883843203005996
38.0,0.1216910609041201,0.045310037779383416,0.11891819520033167,0.04955966291577326,0.11749287465153149,0.2985698797736829,0.060707665080733914,3.9519994807467946
38.5,0.12629287426284636,0.04846801271821847,0.12357610785248481,0.05298520625718059,0.12213329140452267,0.3025467353276491,0.061741034577918075,3.97071792771312
39.0,0.13194382914236363,0.05157075770265144,0.12907328064697235,0.0561391708355334,0.12762418690291813,0.3074522005710375,0.06281556327137723,3.945543243859711
39.5,0.13844084481321295,0.054722822221745966,0.1352160114308102,0.05910135811827894,0.13378077277502531,0.3128556265978656,0.06414113237208814,3.890923305806222
40.0,0.14546774242493576,0.058006213641027704,0.14173265702154259,0.061957690870999636,0.1403342095835198,0.3183989429299724,0.06560603553063772,3.819369353783511
40.5,0.1526446730140723,0.06139024766478862,0.14831211487457138,0.06472950423309541,0.14697146212034132,0.3238246821172777,0.06694129233068313,3.737415696572035
41.0,0.15957893249730623,0.06469159430300075,0.15465351079281536,0.06737754224414097,0.1533855582775918,0.3289474495131032,0.06791849961043764,3.6491678587143186
41.5,0.1659353121258211,0.06766239026210073,0.1605159854238379,0.06987749719968483,0.15932630390324118,0.3336214979787889,0.06842790584771932,3.559982269208522
42.0,0.17151334947358127,0.07014120363756508,0.16576263789910303,0.07229758465454228,0.1646487391475298,0.3377201698483079,0.06848753923878542,3.4766906809786926
42.5,0.17624142230869796,0.07217051777207747,0.17036391007889137,0.07480179120937581,0.1693182705440352,0.3411078029460262,0.0682537900639381,3.4058462983744477
43.0,0.18017369143674544,0.074009050219622,0.17438799401814614,0.07756384708992649,0.17339908160831394,0.34365433060427486,0.06802627272883649,3.3526088459328163
43.5,0.18344457115179796,0.07600680117810922,0.177957374274513,0.08064902281762537,0.17701320300970574,0.3452839991085791,0.06818735293209817,3.320325511331821
44.0,0.18621658707931657,0.07840777703674633,0.18119740436659665,0.08395190745781536,0.18028462560224906,0.3460218314126086,0.0690715973410788,3.3101911091258978
44.5,0.18862074075757224,0.08121269205227748,0.18420679706074958,0.08724009445098219,0.18331405786001362,0.3460267479712673,0.07080572351061609,3.3207923576046143
45.0,0.1908169517217128,0.0841896118813396,0.18704233598550235,0.09024696028828266,0.18615783289800625,0.3455876142902831,0.0732073509654225,3.347898250808245
45.5,0.19288572567578938,0.08697707066159946,0.18973440927675186,0.09275006208386033,0.188845845908451,0.3451031190457748,0.07581551926384096,3.38499628324397
