time_fs,experiment_digitized,hybrid_mean,hybrid_sem,hybrid_ci95_low,hybrid_ci95_high,coherent_mean,coherent_sem,active_surface_diagonal_mean,coherent_offdiagonal_mean
7.5,0.144867885,0.039510562856537874,0.005244612745313726,0.027646424568330528,0.051374701144745225,0.0397676067974989,0.00537983476039862,0.1665829831814723,-0.12707242032493443
8.0,0.147479674,0.04367541815473557,0.0060849046808427705,0.029910407445682664,0.05744042886378848,0.04359005581451807,0.006181009180587012,0.15712205894561637,-0.11344664079088078
8.5,0.150091463,0.04740089846797527,0.006912834149203887,0.03176298118173128,0.06303881575421927,0.04728115750997851,0.007049208432684114,0.14283769998401347,-0.0954368015160382
9.0,0.15270325199999998,0.0509959765431655,0.007832805674681361,0.03327693908094082,0.06871501400539018,0.05085240827259914,0.007954743623674225,0.12982727792927642,-0.07883130138611091
9.5,0.155315041,0.054442800549990275,0.008813623400603007,0.034504999243617676,0.07438060185636287,0.054301010133209295,0.008846423694132048,0.1202972190190434,-0.06585441846905311
10.0,0.15792683,0.05765739931544835,0.00958195252656531,0.03598151677335071,0.079333281857546,0.05762492254941903,0.009669651586686992,0.1144339983050707,-0.05677659898962234
10.5,0.16074187099999998,0.060622471311741435,0.010279729768349736,0.03736810698406457,0.0838768356394183,0.06083599842141496,0.010388232399626622,0.11211552587144938,-0.05149305455970794
11.0,0.163556912,0.06406897120462753,0.010942412685952497,0.03931551396819452,0.08882242844106053,0.06397358369300499,0.011007867627326005,0.114129306557995,-0.0500603353533675
11.5,0.166371953,0.06713800924115461,0.011557030746371365,0.04099418935692557,0.09328182912538364,0.06709672823252452,0.011585828892009611,0.11757782547111376,-0.05043981622995915
12.0,0.169186994,0.07043159405092923,0.012235675985787233,0.04275257197731876,0.09811061612453971,0.07026754620500456,0.012216536511802167,0.1203168356140741,-0.0498852415631449
12.5,0.172002035,0.07395219684854643,0.01305047992081793,0.044429960216984546,0.1034744334801083,0.0735280795690807,0.012993481650520533,0.11976794233260632,-0.0458157454840599
13.0,0.17481707600000002,0.07736912731106564,0.013988533070615447,0.045724867027551463,0.10901338759457982,0.07687361416025365,0.013967275892237124,0.11614292170978449,-0.038773794398718864
13.5,0.177632117,0.08089920906032286,0.015138980989498648,0.046652454776616455,0.11514596334402927,0.08024137879075012,0.015115194598785993,0.11104323461448636,-0.03014402555416352
14.0,0.180447158,0.0841720674507307,0.01642731825837493,0.047010891786063935,0.12133324311539748,0.08350929261274333,0.01635196438229486,0.10610353854734378,-0.021931471096613087
14.5,0.18326219900000001,0.08710689796002338,0.017710932431387567,0.04704198529953503,0.12717181062051175,0.08652157299284251,0.01756486823949432,0.10272464253354299,-0.0156177445735196
15.0,0.18607724,0.08995421393460634,0.01885202035012478,0.04730798106530033,0.13260044680391236,0.08912137635636827,0.018654015206114576,0.10221523058411763,-0.012261016649511314
15.5,0.188485776,0.09221115882166603,0.01989018195935092,0.04721644123184896,0.1372058764114831,0.09119143290663725,0.019561515640190978,0.10339814378735132,-0.011186984965685282
16.0,0.190894312,0.09367745240296702,0.020687364636538502,0.046879382309846854,0.1404755224960872,0.092680989630489,0.020280468678718664,0.10256602184428472,-0.0088885694413177
16.5,0.193302848,0.09476725804128047,0.021360369595267378,0.046446744960135455,0.1430877711224255,0.09362264652216973,0.020847163088970642,0.10093169746332335,-0.006164439422042872
17.0,0.19571138400000002,0.09528139175871517,0.021900009075368758,0.04574012936229995,0.14482265415513038,0.09411897189239019,0.021312556110274324,0.10037658303890684,-0.005095191280191657
17.5,0.19811992,0.09549610813202966,0.02228117408390521,0.045092590581324365,0.14589962568273496,0.09433673246848703,0.02172281854471153,0.09979942341149742,-0.004303315279467749
