time_fs,experiment_digitized,plain_mean,plain_sem,plain_ci95_low,plain_ci95_high,boltzmann_mean,boltzmann_sem,boltzmann_ci95_low,boltzmann_ci95_high,boltzmann_minus_plain
22.5,0.222925135,0.10094913403027814,0.026720901548134023,0.04050225519524757,0.1613960128653087,0.3695437363445493,0.06682001292686136,0.21838636548004633,0.5207011072090523,0.2685946023142711
23.0,0.225477642,0.1001374332607643,0.026801573238809516,0.03950806238283261,0.16076680413869598,0.3704164151139323,0.06720270335613879,0.21839333835368374,0.5224394918741808,0.270278981853168
23.5,0.228030149,0.09904126288981333,0.026541200365632497,0.039000896371951935,0.15908162940767473,0.4059962045871942,0.05831898925626671,0.2740694853107192,0.5379229238636692,0.3069549416973809
24.0,0.230582656,0.09797641048758328,0.026162315864730692,0.038793140257331306,0.15715968071783526,0.407543085162042,0.05673597857254303,0.2791973848426271,0.5358887854814569,0.30956667467445875
24.5,0.23313516299999998,0.09684729024560682,0.025655453565086958,0.038810622197074617,0.154883958294139,0.4055540238920388,0.05373565468854382,0.28399552773769493,0.5271125200463826,0.308706733646432
25.0,0.23568767,0.09599916098961145,0.025113187241193415,0.03918918458984959,0.1528091373893733,0.41074121475716946,0.04695365453380152,0.3045246688313535,0.5169577606829854,0.31474205376755804
25.5,0.23798272399999998,0.09496903200023302,0.02461624811261873,0.039283210009678854,0.15065485399078718,0.4415945399926263,0.04792411047193249,0.3331826702151331,0.5500064097701196,0.34662550799239333
26.0,0.240277778,0.09440547146698372,0.02409732220940147,0.03989354142538302,0.14891740150858443,0.43833890676817144,0.0445137122324888,0.3376418937962208,0.5390359197401221,0.3439334353011877
26.5,0.242572832,0.09407213948574801,0.023518969510330057,0.040868534145007705,0.1472757448264883,0.44186822318005453,0.039137910498590216,0.353332118606526,0.530404327753583,0.34779608369430653
27.0,0.24486788599999998,0.09401750914736028,0.022967036145241194,0.04206246382187391,0.14597255447284663,0.46058093338694805,0.03486679804584067,0.3817067564417623,0.5394551103321339,0.36656342423958777
27.5,0.24716294,0.0942070671525677,0.022532504310203816,0.04323500113019927,0.14517913317493614,0.4507116168864246,0.04785100885949719,0.34246511444511807,0.5589581193277311,0.35650454973385687
28.0,0.249457994,0.09469308630022287,0.02216619199415705,0.044549676307441305,0.14483649629300444,0.44822766652381885,0.052748883037804506,0.3289014029272963,0.5675539301203414,0.35353458022359596
28.5,0.251753048,0.09492418788921013,0.02201506607019433,0.04512264848781378,0.14472572729060648,0.4441100548638257,0.05463730392089697,0.3205118864401323,0.5677082232875191,0.34918586697461557
29.0,0.254048102,0.09583508316286352,0.022096809132423272,0.04584862810773233,0.1458215382179947,0.43827949058478294,0.05447190582800758,0.31505547864164163,0.5615035025279242,0.3424444074219194
29.5,0.25634315599999996,0.09724531105256251,0.022248015483670284,0.04691680346688887,0.14757381863823615,0.43462987981982676,0.05467717468650232,0.3109415174581307,0.5583182421815228,0.33738456876726425
30.0,0.25863821,0.09962171731322453,0.022271940157044447,0.04923908835630858,0.15000434627014048,0.4358778165139919,0.05593616061525373,0.3093414301156383,0.5624142029123455,0.3362560992007674
