    Step            Time                Epot                Ekin                Etot
     182   1504.82603456    -76.458641822157      0.016325127385    -76.442316694772
     183   1513.09430947    -76.458308964164      0.016000688158    -76.442308276006
     184   1521.36258439    -76.457485593555      0.015186452233    -76.442299141322
     185   1529.63085930    -76.456293467483      0.014003108784    -76.442290358699
     186   1537.89913422    -76.454853685209      0.012571160218    -76.442282524991
     187   1546.16740913    -76.453276732011      0.011000867575    -76.442275864436
     188   1554.43568405    -76.451658283995      0.009387932238    -76.442270351758
     189   1562.70395897    -76.450078812292      0.007812975921    -76.442265836371
     190   1570.97223388    -76.448605191774      0.006343060210    -76.442262131564
     191   1579.24050880    -76.447292977559      0.005033907502    -76.442259070057
     192   1587.50878371    -76.446188527760      0.003931994554    -76.442256533206
     193   1595.77705863    -76.445330548307      0.003076093246    -76.442254455061
     194   1604.04533354    -76.444750920677      0.002498103532    -76.442252817145
     195   1612.31360846    -76.444474836848      0.002223196264    -76.442251640584
     196   1620.58188337    -76.444520331408      0.002269350037    -76.442250981371
     197   1628.85015829    -76.444897333174      0.002646409440    -76.442250923734
     198   1637.11843320    -76.445606341314      0.003354767263    -76.442251574051
     199   1645.38670812    -76.446636819258      0.004383764274    -76.442253054984
     200   1653.65498303    -76.447965397609      0.005709898045    -76.442255499564
     201   1661.92325795    -76.449553996682      0.007294953560    -76.442259043122
     202   1670.19153286    -76.451348033722      0.009084224338    -76.442263809383
     203   1678.45980778    -76.453274970783      0.011005086912    -76.442269883871
     204   1686.72808269    -76.455243605336      0.012966340172    -76.442277265165
     205   1694.99635761    -76.457144708541      0.014858911135    -76.442285797406
     206   1703.26463252    -76.458853853496      0.016558747176    -76.442295106319
     207   1711.53290744    -76.460237444572      0.017932870222    -76.442304574350
     208   1719.80118235    -76.461162911195      0.018849617783    -76.442313293411
     209   1728.06945727    -76.461513740390      0.019193752635    -76.442319987755
     210   1736.33773218    -76.461209275608      0.018886196524    -76.442323079083
     211   1744.60600710    -76.460227536088      0.017906507992    -76.442321028096
     212   1752.87428201    -76.458626695629      0.016313832600    -76.442312863028
     213   1761.14255693    -76.456558191858      0.014259492857    -76.442298699001
     214   1769.41083184    -76.454263230716      0.011983076195    -76.442280154520
     215   1777.67910676    -76.452046079746      0.009785641336    -76.442260438411
     216   1785.94738167    -76.450223623142      0.007979844218    -76.442243778924
     217   1794.21565659    -76.449060688911      0.006826530758    -76.442234158153
     218   1802.48393150    -76.448710058555      0.006476208514    -76.442233850042
     219   1810.75220642    -76.449178334738      0.006935806407    -76.442242528331
     220   1819.02048134    -76.450330515368      0.008073059553    -76.442257455816
     221   1827.28875625    -76.451930613079      0.009655974430    -76.442274638649
     222   1835.55703117    -76.453701745859      0.011411461894    -76.442290283965
     223   1843.82530608    -76.455384387112      0.013082544445    -76.442301842666
     224   1852.09358100    -76.456776847183      0.014468517421    -76.442308329762
     225   1860.36185591    -76.457752414839      0.015442338743    -76.442310076096
     226   1868.63013083    -76.458256578099      0.015948374820    -76.442308203279
     227   1876.89840574    -76.458292200584      0.015988152397    -76.442304048187
     228   1885.16668066    -76.457900739186      0.015601987820    -76.442298751366
     229   1893.43495557    -76.457145228376      0.014852119000    -76.442293109376
     230   1901.70323049    -76.456097702195      0.013810102873    -76.442287599321
     231   1909.97150540    -76.454831403357      0.012548952267    -76.442282451090
     232   1918.23978032    -76.453416889378      0.011139163585    -76.442277725793
     233   1926.50805523    -76.451920702646      0.009647308969    -76.442273393677
     234   1934.77633015    -76.450405331486      0.008135930559    -76.442269400927
     235   1943.04460506    -76.448929543025      0.006663832310    -76.442265710715
     236   1951.31287998    -76.447548565598      0.005286251530    -76.442262314068
     237   1959.58115489    -76.446313919055      0.004054690409    -76.442259228646
     238   1967.84942981    -76.445272883125      0.003016389851    -76.442256493274
     239   1976.11770472    -76.444467681436      0.002213519671    -76.442254161765
     240   1984.38597964    -76.443934477281      0.001682179956    -76.442252297325
     241   1992.65425455    -76.443702253206      0.001451282792    -76.442250970414
     242   2000.92252947    -76.443791615996      0.001541357182    -76.442250258814
     243   2009.19080438    -76.444213539157      0.001963291262    -76.442250247895
     244   2017.45907930    -76.444968035894      0.002717004955    -76.442251030940
     245   2025.72735421    -76.446042755355      0.003790045749    -76.442252709606
     246   2033.99562913    -76.447411520700      0.005156130016    -76.442255390683
     247   2042.26390404    -76.449032856958      0.006773678605    -76.442259178353
     248   2050.53217896    -76.450848652469      0.008584491536    -76.442264160933
     249   2058.80045387    -76.452783190501      0.010512801998    -76.442270388503
     250   2067.06872879    -76.454742944265      0.012465111558    -76.442277832708
     251   2075.33700371    -76.456617721650      0.014331399128    -76.442286322522
     252   2083.60527862    -76.458283969632      0.015988498566    -76.442295471066
     253   2091.87355354    -76.459611225817      0.017306603781    -76.442304622036
     254   2100.14182845    -76.460472671725      0.018159847779    -76.442312823946
     255   2108.41010337    -76.460760352633      0.018441537996    -76.442318814638
     256   2116.67837828    -76.460404780030      0.018083692783    -76.442321087247
     257   2124.94665320    -76.459397028007      0.017078838136    -76.442318189871
     258   2133.21492811    -76.457808912492      0.015499667151    -76.442309245341
     259   2141.48320303    -76.455804214637      0.013509708990    -76.442294505647
     260   2149.75147794    -76.453632796752      0.011357042474    -76.442275754278
     261   2158.01975286    -76.451601459010      0.009345132694    -76.442256326315
     262   2166.28802777    -76.450021795035      0.007781321804    -76.442240473231
     263   2174.55630269    -76.449145330863      0.006913257722    -76.442232073141
     264   2182.82457760    -76.449105234508      0.006872039988    -76.442233194519
     265   2191.09285252    -76.449885431061      0.007642160000    -76.442243271061
     266   2199.36112743    -76.451328946616      0.009069575545    -76.442259371070
     267   2207.62940235    -76.453181600195      0.010904195116    -76.442277405079
     268   2215.89767726    -76.455153678065      0.012860091384    -76.442293586682
     269   2224.16595218    -76.456978228906      0.014672793178    -76.442305435728
     270   2232.43422709    -76.458450591487      0.016138553583    -76.442312037905
