t_fs P_S1 P_S2
1.025000000000000000e+02 8.441482999999999626e-01 1.558517000000000097e-01
1.030000000000000000e+02 8.483654400000000262e-01 1.516345600000000016e-01
1.035000000000000000e+02 8.506933199999999751e-01 1.493066799999999972e-01
1.040000000000000000e+02 8.514154600000000128e-01 1.485845399999999872e-01
1.045000000000000000e+02 8.509879700000000380e-01 1.490120299999999898e-01
1.050000000000000000e+02 8.499856300000000475e-01 1.500143700000000080e-01
1.055000000000000000e+02 8.490544599999999553e-01 1.509455399999999892e-01
1.060000000000000000e+02 8.483221199999999573e-01 1.516778799999999872e-01
1.065000000000000000e+02 8.472421100000000482e-01 1.527578900000000073e-01
1.070000000000000000e+02 8.452709000000000472e-01 1.547291000000000083e-01
1.075000000000000000e+02 8.422310299999999916e-01 1.577689700000000084e-01
1.080000000000000000e+02 8.382274800000000248e-01 1.617725200000000030e-01
1.085000000000000000e+02 8.338106499999999865e-01 1.661893500000000135e-01
1.090000000000000000e+02 8.298203299999999949e-01 1.701796700000000051e-01
1.095000000000000000e+02 8.266687299999999627e-01 1.733312700000000095e-01
1.100000000000000000e+02 8.240305300000000388e-01 1.759694699999999890e-01
1.105000000000000000e+02 8.211541700000000166e-01 1.788458300000000112e-01
1.110000000000000000e+02 8.173494199999999932e-01 1.826505800000000068e-01
1.115000000000000000e+02 8.125067500000000553e-01 1.874932500000000002e-01
1.120000000000000000e+02 8.073000200000000071e-01 1.926999799999999929e-01
1.125000000000000000e+02 8.028296999999999795e-01 1.971702999999999928e-01
1.130000000000000000e+02 8.000551700000000377e-01 1.999448299999999901e-01
1.135000000000000000e+02 7.994381400000000193e-01 2.005618600000000085e-01
1.140000000000000000e+02 8.008723800000000503e-01 1.991276200000000052e-01
1.145000000000000000e+02 8.035558400000000212e-01 1.964441600000000065e-01
1.150000000000000000e+02 8.058349599999999890e-01 1.941650400000000110e-01
1.155000000000000000e+02 8.059462699999999646e-01 1.940537300000000076e-01
1.160000000000000000e+02 8.036385700000000520e-01 1.963614300000000035e-01
1.165000000000000000e+02 8.005929400000000307e-01 1.994070599999999971e-01
1.170000000000000000e+02 7.986440999999999679e-01 2.013559000000000043e-01
1.175000000000000000e+02 7.983056800000000175e-01 2.016943200000000103e-01
1.180000000000000000e+02 7.994789500000000215e-01 2.005210500000000062e-01
1.185000000000000000e+02 8.021925300000000147e-01 1.978074700000000130e-01
1.190000000000000000e+02 8.060272800000000126e-01 1.939727199999999874e-01
1.195000000000000000e+02 8.100246300000000232e-01 1.899753700000000045e-01
1.200000000000000000e+02 8.134076900000000165e-01 1.865923100000000112e-01
